dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	successive_ss_avg	successive_ss_std	piA_avg	piA_std	piB_avg	piB_std	pearson_r_pi	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	pearson_r_theta	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	pearson_r_divAB_netDivAB	pearson_r_divAB_FST	pearson_r_netDivAB_FST	ss_sf	ss_noSf	noSs_sf	noSs_noSf
0	125.04000	16.89433	0.06000	0.50636	45.34000	8.33213	47.89000	10.12807	31.75000	12.47828	2.75000	1.48577	0.02155	0.00557	0.02228	0.00595	0.55948	0.02173	0.00401	0.02245	0.00467	0.56561	-0.06070	0.58831	-0.05710	0.48145	0.02724	0.00615	0.00533	0.00303	0.00904	0.00336	0.04585	0.00996	0.33501	0.10225	1.69938	0.21719	0.11029	0.05439	0.56760	0.26719	0.93255	2.00000	98.00000	0.00000	0.00000
1	243.69000	26.11501	1.62000	2.30989	116.60000	17.06341	105.06000	17.01871	20.41000	9.49009	1.59000	1.08715	0.03617	0.00670	0.03414	0.00661	0.23842	0.03862	0.00582	0.03537	0.00602	0.20903	-0.26878	0.33293	-0.14715	0.32673	0.05469	0.00893	0.01953	0.00634	0.03575	0.00734	0.07388	0.01189	0.65272	0.07247	1.35294	0.07630	0.22000	0.05265	0.81710	0.47628	0.88758	50.00000	50.00000	0.00000	0.00000
2	287.15000	27.42932	57.21000	12.69590	33.84000	8.83824	196.10000	26.75051	0.00000	0.00000	0.00000	0.00000	0.00934	0.00298	0.05378	0.00783	0.10096	0.00954	0.00249	0.05527	0.00754	-0.00674	-0.09320	0.64830	-0.10482	0.32098	0.11457	0.01377	0.08301	0.01264	0.10131	0.01360	0.12880	0.01465	0.88332	0.03234	1.12565	0.03655	0.57299	0.04801	0.94994	0.46293	0.71418	0.00000	0.00000	100.00000	0.00000
3	145.98000	21.67763	0.26000	1.07350	66.30000	19.21015	36.89000	11.06245	42.53000	17.07305	4.00000	1.97484	0.03263	0.00792	0.02537	0.00819	0.31582	0.03068	0.00633	0.02239	0.00572	0.29677	0.24179	0.46765	0.50375	0.69428	0.03967	0.00839	0.01067	0.00530	0.01366	0.00619	0.06265	0.01226	0.34193	0.12960	1.59140	0.15770	0.15980	0.07235	0.62663	0.20768	0.87247	7.00000	93.00000	0.00000	0.00000
4	157.82000	14.46608	27.21000	5.16971	123.76000	14.51972	6.85000	3.25998	0.00000	0.00000	0.00000	0.00000	0.03172	0.00441	0.00194	0.00117	0.00932	0.03488	0.00409	0.00193	0.00092	-0.12181	-0.37194	0.31727	-0.05383	0.97561	0.05423	0.00647	0.03740	0.00611	0.04607	0.00647	0.06304	0.00709	0.84824	0.04491	1.16451	0.05397	0.53143	0.05298	0.93552	0.47924	0.75612	0.00000	0.00000	100.00000	0.00000
5	213.12000	24.30732	83.04000	17.87564	1.30000	1.20416	128.78000	23.30733	0.00000	0.00000	0.00000	0.00000	0.00038	0.00041	0.03635	0.00837	-0.06860	0.00037	0.00034	0.03630	0.00657	-0.09207	0.01439	0.77298	-0.01641	0.47804	0.11971	0.01742	0.10134	0.01736	0.11153	0.01726	0.12900	0.01785	0.93106	0.03412	1.07928	0.03474	0.73713	0.05762	0.97119	0.42864	0.62928	0.00000	0.00000	100.00000	0.00000
6	208.68000	22.26651	3.67000	3.77903	86.18000	16.10055	101.65000	17.68863	17.18000	10.22094	1.45000	1.00374	0.02962	0.00751	0.03409	0.00734	0.00827	0.02913	0.00567	0.03349	0.00588	0.06035	0.04624	0.55806	0.05853	0.39734	0.05680	0.00876	0.02495	0.00630	0.03836	0.00750	0.07663	0.01142	0.67531	0.08001	1.35383	0.09792	0.28617	0.05813	0.80316	0.32349	0.81918	80.00000	20.00000	0.00000	0.00000
7	209.26000	17.63724	6.56000	4.20314	77.38000	12.12747	124.55000	14.10700	0.77000	1.11225	0.04000	0.19596	0.02111	0.00456	0.03094	0.00378	0.03674	0.02203	0.00350	0.03532	0.00405	-0.01923	-0.19180	0.44773	-0.50164	0.30716	0.04898	0.00562	0.02295	0.00515	0.03709	0.00603	0.06209	0.00671	0.75466	0.05654	1.27105	0.08133	0.31025	0.05533	0.84641	0.53707	0.90133	44.00000	0.00000	56.00000	0.00000
8	220.61000	24.36797	66.45000	11.75872	128.14000	21.58056	26.02000	8.85435	0.00000	0.00000	0.00000	0.00000	0.03586	0.00725	0.00734	0.00320	0.08728	0.03612	0.00608	0.00733	0.00250	0.03552	-0.03690	0.39598	-0.06385	0.77116	0.10635	0.01224	0.08475	0.01159	0.09646	0.01210	0.11690	0.01299	0.90635	0.02684	1.10005	0.02709	0.66782	0.05149	0.94262	0.29484	0.59501	0.00000	0.00000	100.00000	0.00000
9	243.11000	21.97812	59.59000	11.32263	72.13000	14.51872	111.37000	19.07860	0.02000	0.19900	0.00000	0.00000	0.02040	0.00485	0.03087	0.00673	-0.16346	0.02034	0.00410	0.03140	0.00537	-0.05471	0.00285	0.48521	-0.07805	0.46626	0.10813	0.01121	0.08250	0.01081	0.09687	0.01148	0.12047	0.01196	0.89475	0.02715	1.11512	0.03291	0.62204	0.04779	0.94064	0.41069	0.69414	1.00000	0.00000	99.00000	0.00000
10	232.96000	21.63882	3.31000	3.76748	98.16000	14.97245	116.29000	17.09930	15.20000	9.01998	1.25000	1.09886	0.03133	0.00644	0.03541	0.00636	0.16335	0.03195	0.00503	0.03706	0.00524	0.06185	-0.09420	0.43862	-0.18781	0.39718	0.05622	0.00966	0.02285	0.00708	0.03876	0.00799	0.07399	0.01154	0.68862	0.06886	1.32303	0.09730	0.25720	0.05602	0.87450	0.53381	0.86910	81.00000	18.00000	1.00000	0.00000
11	154.94000	18.52772	6.81000	3.68428	34.40000	9.55824	113.32000	16.20918	0.41000	0.82577	0.02000	0.14000	0.01008	0.00341	0.02505	0.00350	-0.08109	0.00981	0.00277	0.03206	0.00457	0.01494	0.07704	0.61745	-0.88627	0.30347	0.03324	0.00429	0.01568	0.00383	0.02406	0.00453	0.04353	0.00477	0.72036	0.06510	1.31537	0.09146	0.31318	0.06065	0.83947	0.45811	0.86326	26.00000	1.00000	73.00000	0.00000
12	297.54000	25.40253	73.69000	16.33077	148.79000	20.01014	74.84000	14.82412	0.22000	0.93360	0.04000	0.19596	0.04154	0.00711	0.02126	0.00515	0.06865	0.04200	0.00563	0.02116	0.00419	0.15360	-0.04797	0.40725	0.01287	0.52041	0.13333	0.01457	0.10192	0.01441	0.11944	0.01456	0.14751	0.01556	0.89505	0.03016	1.10724	0.02930	0.62342	0.05109	0.95118	0.49953	0.74103	7.00000	0.00000	93.00000	0.00000
13	279.87000	27.07975	25.34000	10.66885	162.71000	25.56611	87.24000	16.65600	4.58000	4.82531	0.67000	1.28884	0.04701	0.00881	0.02611	0.00654	-0.11753	0.04715	0.00725	0.02588	0.00539	-0.14023	-0.02046	0.36066	0.02965	0.50329	0.09278	0.01313	0.05622	0.01212	0.07499	0.01216	0.11051	0.01517	0.80711	0.04748	1.19297	0.05780	0.43861	0.06390	0.91920	0.55106	0.83178	81.00000	0.00000	19.00000	0.00000
14	197.54000	19.64964	38.49000	8.01061	2.30000	1.70000	156.75000	20.98589	0.00000	0.00000	0.00000	0.00000	0.00063	0.00052	0.04054	0.00642	-0.10669	0.00065	0.00048	0.04418	0.00592	-0.11618	-0.03582	0.94291	-0.34039	0.33579	0.07260	0.00847	0.05201	0.00845	0.06422	0.00895	0.08169	0.00932	0.88306	0.04031	1.12640	0.04340	0.56321	0.05998	0.92887	0.48794	0.77448	0.00000	0.00000	100.00000	0.00000
15	295.24000	29.00901	78.46000	16.46537	140.64000	22.72290	75.92000	18.74283	0.22000	0.81951	0.02000	0.14000	0.04023	0.00790	0.02123	0.00708	-0.12744	0.03970	0.00641	0.02146	0.00540	-0.04076	0.05144	0.43676	-0.09063	0.53958	0.13740	0.01604	0.10667	0.01557	0.12410	0.01578	0.15176	0.01695	0.90257	0.02826	1.10546	0.02923	0.63925	0.05053	0.95128	0.43938	0.69258	12.00000	0.00000	88.00000	0.00000
16	212.92000	23.86909	87.74000	16.71623	123.46000	22.80282	1.72000	1.47702	0.00000	0.00000	0.00000	0.00000	0.03479	0.00776	0.00047	0.00047	-0.10844	0.03480	0.00643	0.00048	0.00042	-0.06536	-0.01400	0.43231	-0.07117	0.90795	0.12238	0.01582	0.10475	0.01594	0.11423	0.01585	0.13098	0.01599	0.93252	0.02715	1.07162	0.02800	0.75125	0.05434	0.97044	0.45867	0.65633	0.00000	0.00000	100.00000	0.00000
17	271.42000	28.40781	30.68000	11.78039	39.48000	12.11650	199.21000	26.39784	2.05000	4.45056	0.28000	0.74940	0.01149	0.00543	0.05585	0.00871	-0.13110	0.01171	0.00424	0.05673	0.00741	-0.03328	-0.15178	0.66438	-0.06520	0.31869	0.09529	0.01525	0.06162	0.01388	0.07736	0.01540	0.11444	0.01671	0.80883	0.06230	1.20538	0.06805	0.48061	0.06055	0.94953	0.61501	0.82639	37.00000	0.00000	63.00000	0.00000
18	319.70000	29.28464	76.39000	17.40224	77.92000	15.82004	165.12000	27.66560	0.27000	0.96804	0.04000	0.31369	0.02265	0.00589	0.04657	0.00897	0.14505	0.02204	0.00456	0.04662	0.00780	-0.04047	0.10040	0.51810	-0.00293	0.39827	0.14239	0.01649	0.10778	0.01638	0.12821	0.01617	0.15727	0.01737	0.89976	0.02707	1.10542	0.02780	0.61390	0.05586	0.93967	0.45205	0.72720	9.00000	0.00000	91.00000	0.00000
19	270.18000	20.93054	11.97000	5.56499	150.08000	16.31176	107.15000	15.60473	0.98000	1.24081	0.04000	0.19596	0.03925	0.00453	0.02953	0.00515	0.10276	0.04258	0.00460	0.03048	0.00447	0.03566	-0.31226	0.33046	-0.13136	0.35572	0.06940	0.00642	0.03501	0.00607	0.05544	0.00651	0.08436	0.00739	0.79790	0.04306	1.21749	0.05627	0.34251	0.05013	0.83524	0.48759	0.88521	52.00000	0.00000	48.00000	0.00000
20	279.22000	22.76294	31.90000	11.76053	68.26000	15.06029	177.37000	22.75419	1.69000	3.01561	0.20000	0.50990	0.02052	0.00588	0.04954	0.00740	-0.16598	0.01972	0.00454	0.05047	0.00638	-0.11962	0.13792	0.57714	-0.07582	0.34330	0.09522	0.01277	0.06019	0.01312	0.07943	0.01257	0.11158	0.01380	0.83229	0.04436	1.17419	0.04569	0.46505	0.06642	0.94451	0.70783	0.89763	42.00000	0.00000	58.00000	0.00000
21	215.72000	21.10928	22.75000	7.44496	62.21000	13.72829	130.63000	17.59355	0.13000	0.43943	0.00000	0.00000	0.01741	0.00492	0.03464	0.00520	-0.01112	0.01757	0.00391	0.03686	0.00495	-0.03340	-0.06415	0.55188	-0.23955	0.37146	0.06868	0.00819	0.04265	0.00749	0.05753	0.00874	0.08129	0.00829	0.83524	0.04365	1.18683	0.05036	0.45575	0.05584	0.90069	0.44585	0.78851	10.00000	0.00000	90.00000	0.00000
22	106.62000	14.58477	31.19000	8.07923	13.25000	4.55275	62.18000	12.69676	0.00000	0.00000	0.00000	0.00000	0.00363	0.00146	0.01695	0.00436	0.26149	0.00373	0.00128	0.01753	0.00358	0.17118	-0.11035	0.73688	-0.14277	0.51078	0.05076	0.00827	0.04047	0.00794	0.04420	0.00828	0.05802	0.00885	0.86816	0.04631	1.14566	0.04547	0.66688	0.07013	0.95424	0.38978	0.64354	0.00000	0.00000	100.00000	0.00000
23	169.04000	21.99269	90.80000	18.02221	48.31000	12.34560	29.93000	8.60611	0.00000	0.00000	0.00000	0.00000	0.01337	0.00428	0.00831	0.00308	0.14485	0.01362	0.00348	0.00844	0.00243	0.07861	-0.09193	0.62079	-0.09767	0.71522	0.11185	0.01818	0.10101	0.01793	0.10480	0.01784	0.11950	0.01840	0.93600	0.02135	1.07020	0.02245	0.82477	0.04557	0.98798	0.44204	0.57328	0.00000	0.00000	100.00000	0.00000
24	160.17000	17.01943	7.59000	4.10145	84.64000	13.82210	67.93000	12.22723	0.01000	0.09950	0.00000	0.00000	0.02265	0.00433	0.01870	0.00401	-0.06522	0.02386	0.00390	0.01915	0.00345	-0.02703	-0.20853	0.39111	-0.10098	0.47852	0.04279	0.00441	0.02212	0.00384	0.03229	0.00462	0.05381	0.00539	0.75367	0.06548	1.25952	0.06738	0.35500	0.05522	0.76858	0.25504	0.81080	1.00000	0.00000	99.00000	0.00000
25	250.07000	28.20576	53.98000	12.56342	15.66000	5.77100	180.43000	27.24748	0.00000	0.00000	0.00000	0.00000	0.00428	0.00178	0.04979	0.00894	-0.20061	0.00441	0.00163	0.05086	0.00768	-0.18420	-0.08692	0.71461	-0.09087	0.37947	0.10365	0.01416	0.07662	0.01281	0.09178	0.01392	0.11647	0.01498	0.88414	0.03588	1.12538	0.03843	0.59117	0.05127	0.95216	0.39840	0.65658	0.00000	0.00000	100.00000	0.00000
26	279.07000	30.27747	87.35000	18.83474	51.10000	12.27559	140.60000	24.68562	0.02000	0.14000	0.00000	0.00000	0.01454	0.00430	0.04003	0.00878	0.24816	0.01441	0.00347	0.03964	0.00697	0.21250	0.00876	0.59503	0.03125	0.45785	0.13986	0.01846	0.11258	0.01843	0.12723	0.01855	0.15335	0.01916	0.90839	0.02951	1.09779	0.02781	0.67747	0.05884	0.95801	0.46547	0.69775	2.00000	0.00000	98.00000	0.00000
27	216.05000	25.41314	85.76000	17.07696	2.73000	1.82677	127.56000	23.41552	0.00000	0.00000	0.00000	0.00000	0.00072	0.00059	0.03556	0.00892	-0.05436	0.00077	0.00051	0.03596	0.00660	-0.06754	-0.14797	0.92880	-0.07745	0.44273	0.12215	0.01776	0.10401	0.01758	0.11334	0.01763	0.13119	0.01856	0.92700	0.03212	1.07502	0.02716	0.74493	0.05598	0.96828	0.38011	0.59670	0.00000	0.00000	100.00000	0.00000
28	273.73000	30.49553	68.58000	16.09359	167.84000	29.83881	37.19000	10.12886	0.12000	0.76525	0.00000	0.00000	0.04739	0.00964	0.01024	0.00350	-0.08471	0.04734	0.00842	0.01052	0.00294	0.01033	0.00052	0.36979	-0.12063	0.64186	0.12292	0.01594	0.09410	0.01551	0.10995	0.01648	0.13662	0.01614	0.89262	0.03304	1.11367	0.03306	0.62444	0.05777	0.95005	0.48643	0.73261	4.00000	0.00000	96.00000	0.00000
29	161.21000	22.16362	1.44000	2.30356	63.34000	13.25083	77.09000	16.17040	19.34000	10.82517	1.79000	1.33638	0.02342	0.00636	0.02703	0.00749	0.29279	0.02330	0.00525	0.02718	0.00562	0.22504	0.00091	0.49741	-0.05529	0.49907	0.04073	0.00915	0.01550	0.00618	0.02332	0.00673	0.05733	0.01190	0.57221	0.10275	1.41914	0.13217	0.23709	0.07445	0.80325	0.40479	0.85788	45.00000	55.00000	0.00000	0.00000
30	315.80000	28.80278	35.25000	13.03639	102.44000	19.94308	175.89000	23.79954	2.22000	2.90028	0.30000	0.65574	0.03015	0.00764	0.04990	0.00770	0.13401	0.02950	0.00588	0.05020	0.00690	0.08923	0.07562	0.52897	-0.02502	0.30092	0.10898	0.01296	0.06896	0.01273	0.09222	0.01289	0.12690	0.01431	0.84489	0.03892	1.16624	0.04624	0.46789	0.06251	0.89909	0.50821	0.83113	61.00000	0.00000	39.00000	0.00000
31	212.52000	20.30048	17.91000	5.56434	45.54000	10.73631	149.01000	18.22224	0.06000	0.27641	0.00000	0.00000	0.01296	0.00390	0.03700	0.00486	-0.06862	0.01285	0.00304	0.04202	0.00512	-0.04560	0.02378	0.64682	-0.48869	0.26775	0.05875	0.00631	0.03376	0.00574	0.04775	0.00628	0.07100	0.00752	0.81174	0.04464	1.21003	0.05323	0.40864	0.05070	0.87932	0.46427	0.82799	5.00000	0.00000	95.00000	0.00000
32	162.38000	28.39006	39.49000	16.90650	1.56000	1.38795	121.33000	27.95105	0.00000	0.00000	0.00000	0.00000	0.00041	0.00046	0.03782	0.01144	0.05145	0.00044	0.00039	0.03420	0.00788	0.06535	-0.14427	0.84718	0.38102	0.62327	0.08096	0.01809	0.06185	0.01708	0.06653	0.01817	0.09499	0.02003	0.81612	0.09373	1.18175	0.11023	0.62096	0.09658	0.94838	0.38770	0.65186	0.00000	0.00000	100.00000	0.00000
33	300.62000	26.59089	91.87000	18.53141	177.16000	26.19913	31.59000	8.41320	0.00000	0.00000	0.00000	0.00000	0.04959	0.00915	0.00886	0.00291	-0.06300	0.04994	0.00738	0.00890	0.00237	-0.13159	-0.03597	0.35702	-0.02739	0.68949	0.14771	0.01848	0.11849	0.01840	0.13541	0.01906	0.16157	0.01813	0.91517	0.02522	1.09590	0.03339	0.67352	0.05016	0.96734	0.51014	0.70917	0.00000	0.00000	100.00000	0.00000
